lat,long,time
51.336984,-0.2519,2023-01-13 16:13:07+00:00
51.336969,-0.251934,2023-01-13 16:13:08+00:00
51.336951,-0.251973,2023-01-13 16:13:09+00:00
51.336936,-0.252009,2023-01-13 16:13:10+00:00
51.336916,-0.252053,2023-01-13 16:13:11+00:00
51.336899,-0.252085,2023-01-13 16:13:12+00:00
51.336882,-0.252126,2023-01-13 16:13:13+00:00
51.336865,-0.252172,2023-01-13 16:13:14+00:00
51.336847,-0.252215,2023-01-13 16:13:15+00:00
51.336832,-0.252253,2023-01-13 16:13:16+00:00
51.336816,-0.252293,2023-01-13 16:13:17+00:00
51.336797,-0.252331,2023-01-13 16:13:18+00:00
51.336779,-0.252346,2023-01-13 16:13:19+00:00
51.336756,-0.252345,2023-01-13 16:13:20+00:00
51.336735,-0.252326,2023-01-13 16:13:21+00:00
51.336714,-0.2523,2023-01-13 16:13:22+00:00
51.336689,-0.252271,2023-01-13 16:13:23+00:00
51.336667,-0.252241,2023-01-13 16:13:24+00:00
51.336642,-0.252213,2023-01-13 16:13:25+00:00
51.336615,-0.252187,2023-01-13 16:13:26+00:00
51.33659,-0.252159,2023-01-13 16:13:27+00:00
51.336563,-0.252132,2023-01-13 16:13:28+00:00
51.336535,-0.252105,2023-01-13 16:13:29+00:00
51.336507,-0.252079,2023-01-13 16:13:30+00:00
51.336482,-0.252052,2023-01-13 16:13:31+00:00
51.336452,-0.252024,2023-01-13 16:13:32+00:00
51.336432,-0.252001,2023-01-13 16:13:33+00:00
51.336407,-0.251973,2023-01-13 16:13:34+00:00
51.336385,-0.251952,2023-01-13 16:13:35+00:00
51.336356,-0.251928,2023-01-13 16:13:36+00:00
51.33633,-0.251909,2023-01-13 16:13:37+00:00
51.336304,-0.251884,2023-01-13 16:13:38+00:00
51.336279,-0.251867,2023-01-13 16:13:39+00:00
51.336255,-0.251845,2023-01-13 16:13:40+00:00
51.336224,-0.251822,2023-01-13 16:13:41+00:00
51.336195,-0.2518,2023-01-13 16:13:42+00:00
51.33616,-0.251777,2023-01-13 16:13:43+00:00
51.336132,-0.251752,2023-01-13 16:13:44+00:00
51.336103,-0.251719,2023-01-13 16:13:45+00:00
51.336086,-0.251685,2023-01-13 16:13:46+00:00
51.336075,-0.251638,2023-01-13 16:13:47+00:00
51.336073,-0.251594,2023-01-13 16:13:48+00:00
51.336081,-0.251539,2023-01-13 16:13:49+00:00
51.336095,-0.251499,2023-01-13 16:13:50+00:00
51.336111,-0.251459,2023-01-13 16:13:51+00:00
51.336126,-0.251426,2023-01-13 16:13:52+00:00
51.336148,-0.251382,2023-01-13 16:13:53+00:00
51.336161,-0.251345,2023-01-13 16:13:54+00:00
51.33618,-0.251305,2023-01-13 16:13:55+00:00
51.336202,-0.251256,2023-01-13 16:13:56+00:00
51.336223,-0.251215,2023-01-13 16:13:57+00:00
51.336246,-0.251168,2023-01-13 16:13:58+00:00
51.336268,-0.251125,2023-01-13 16:13:59+00:00
51.336291,-0.251075,2023-01-13 16:14:00+00:00
51.336309,-0.251039,2023-01-13 16:14:01+00:00
51.33633,-0.250994,2023-01-13 16:14:02+00:00
51.336348,-0.250957,2023-01-13 16:14:03+00:00
51.336371,-0.25092,2023-01-13 16:14:04+00:00
51.33639,-0.250884,2023-01-13 16:14:05+00:00
51.336413,-0.250843,2023-01-13 16:14:06+00:00
51.336432,-0.250805,2023-01-13 16:14:07+00:00
51.336455,-0.250765,2023-01-13 16:14:08+00:00
51.336477,-0.250724,2023-01-13 16:14:09+00:00
51.336497,-0.25069,2023-01-13 16:14:10+00:00
51.336518,-0.250648,2023-01-13 16:14:11+00:00
51.336537,-0.250622,2023-01-13 16:14:12+00:00
51.336559,-0.250586,2023-01-13 16:14:13+00:00
51.336583,-0.250558,2023-01-13 16:14:14+00:00
51.336614,-0.250537,2023-01-13 16:14:15+00:00
51.336642,-0.250535,2023-01-13 16:14:16+00:00
51.336682,-0.250549,2023-01-13 16:14:17+00:00
51.336711,-0.250567,2023-01-13 16:14:18+00:00
51.336744,-0.250594,2023-01-13 16:14:19+00:00
51.336773,-0.250623,2023-01-13 16:14:20+00:00
51.336803,-0.250654,2023-01-13 16:14:21+00:00
51.336829,-0.250681,2023-01-13 16:14:22+00:00
51.336853,-0.250708,2023-01-13 16:14:23+00:00
51.336878,-0.250736,2023-01-13 16:14:24+00:00
51.336903,-0.250767,2023-01-13 16:14:25+00:00
51.33693,-0.250799,2023-01-13 16:14:26+00:00
51.336953,-0.250829,2023-01-13 16:14:27+00:00
51.336982,-0.250862,2023-01-13 16:14:28+00:00
51.337007,-0.250891,2023-01-13 16:14:29+00:00
51.337035,-0.250919,2023-01-13 16:14:30+00:00
51.33706,-0.250947,2023-01-13 16:14:31+00:00
51.337086,-0.250979,2023-01-13 16:14:32+00:00
51.337112,-0.25101,2023-01-13 16:14:33+00:00
51.337139,-0.251048,2023-01-13 16:14:34+00:00
51.337161,-0.251082,2023-01-13 16:14:35+00:00
51.337187,-0.251121,2023-01-13 16:14:36+00:00
51.337202,-0.251159,2023-01-13 16:14:37+00:00
51.337223,-0.2512,2023-01-13 16:14:38+00:00
51.337239,-0.251236,2023-01-13 16:14:39+00:00
51.337261,-0.251255,2023-01-13 16:14:40+00:00
51.337285,-0.251248,2023-01-13 16:14:41+00:00
51.33731,-0.251211,2023-01-13 16:14:42+00:00
51.337335,-0.25117,2023-01-13 16:14:43+00:00
51.337358,-0.251119,2023-01-13 16:14:44+00:00
51.33738,-0.251076,2023-01-13 16:14:45+00:00
51.337399,-0.251027,2023-01-13 16:14:46+00:00
51.337418,-0.250989,2023-01-13 16:14:47+00:00
51.337437,-0.250944,2023-01-13 16:14:48+00:00
51.337452,-0.250913,2023-01-13 16:14:49+00:00
51.33747,-0.250874,2023-01-13 16:14:50+00:00
51.337482,-0.250836,2023-01-13 16:14:51+00:00
51.33748,-0.250795,2023-01-13 16:14:52+00:00
51.337471,-0.25076,2023-01-13 16:14:53+00:00
51.337468,-0.250765,2023-01-13 16:14:54+00:00
51.337464,-0.250801,2023-01-13 16:14:55+00:00
51.337459,-0.250852,2023-01-13 16:14:56+00:00
51.337448,-0.250894,2023-01-13 16:14:57+00:00
51.337431,-0.250951,2023-01-13 16:14:58+00:00
51.337406,-0.251004,2023-01-13 16:14:59+00:00
51.337376,-0.251066,2023-01-13 16:15:00+00:00
51.33735,-0.251107,2023-01-13 16:15:01+00:00
51.337323,-0.251165,2023-01-13 16:15:02+00:00
51.337304,-0.251206,2023-01-13 16:15:03+00:00
51.337281,-0.251252,2023-01-13 16:15:04+00:00
51.337264,-0.251282,2023-01-13 16:15:05+00:00
51.337241,-0.251319,2023-01-13 16:15:06+00:00
51.337223,-0.251334,2023-01-13 16:15:07+00:00
51.337215,-0.251316,2023-01-13 16:15:08+00:00
51.337223,-0.251289,2023-01-13 16:15:09+00:00
51.337235,-0.251252,2023-01-13 16:15:10+00:00
51.337239,-0.251196,2023-01-13 16:15:11+00:00
51.337228,-0.251149,2023-01-13 16:15:12+00:00
51.33721,-0.251103,2023-01-13 16:15:13+00:00
51.337188,-0.251068,2023-01-13 16:15:14+00:00
51.33716,-0.251043,2023-01-13 16:15:15+00:00
51.337133,-0.251026,2023-01-13 16:15:16+00:00
51.337106,-0.251015,2023-01-13 16:15:17+00:00
